pais	origin	fxtousd	fxtoeur	data_date_part
NY	CER	0.302598731	0.255205714978432	2020-11-20
NY	MAD	0.109810467	0.092611950860989	2020-11-20
NY	SKK	0.035085971	0.029590806061949	2020-11-20
NY	LVL	1.503985562	1.783283426831102	2020-11-20
NY	BRE	1.185705151	1.000000000000000	2020-11-20
NY	BRL	0.185797004	0.156697475581218	2020-11-20
NY	INR	0.013496449	0.011382635043356	2020-11-20
NY	ARD	1	0.843379991710680	2020-11-20
NY	LTL	1.185705151	1.000000000000000	2020-11-20
MI	DNZ	0.693998833	0.585304730275775	2020-11-20
MI	HCN	0.152609174	0.128707524315370	2020-11-20
MI	COP	0.000275309	0.000232190141283	2020-11-20
MI	GBP	1.328591161	1.120507202604076	2020-11-20
MI	CER	0.302598731	0.255205714978432	2020-11-20
MI	MXN	0.049756096	0.041963295701150	2020-11-20
MI	PCL	0.001314009	0.001108208913799	2020-11-20
MI	EUR	1.185705151	1.000000000000000	2020-11-20
MI	INR	0.013496449	0.011382635043356	2020-11-20
MI	ARD	1	0.843379991710680	2020-11-20
MI	MAD	0.109810467	0.092611950860989	2020-11-20
MI	LVL	1.503985562	1.783283426831102	2020-11-20
MI	BRE	1.185705151	1.000000000000000	2020-11-20
MI	LTL	1.185705151	1.000000000000000	2020-11-20
MI	SKK	0.035085971	0.029590806061949	2020-11-20
MI	BRL	0.185797004	0.156697475581218	2020-11-20
SB	AUD	0.730736884	0.616288867001932	2020-11-20
SB	CLF	38.05957084	32.098680539786695	2020-11-20
SB	THB	0.033059017	0.027881313458310	2020-11-20
SB	CNY	0.152370653	0.128506360189527	2020-11-20
SB	PEN	0.278120415	0.234561193413311	2020-11-20
SB	DKK	0.15921971	0.134282717756003	2020-11-20
SB	PAR	0.012610159	0.010635155424959	2020-11-20
SB	DCN	0.764119917	0.644443449279805	2020-11-20
SB	TRY	0.131358743	0.110785335601867	2020-11-20
SB	TND	0.364570991	0.307471879440267	2020-11-20
SB	KWD	3.270820466	2.758544537692336	2020-11-20
SB	RUB	0.013120744	0.011065772573878	2020-11-20
SB	BGN	0.606244316	0.511294326590288	2020-11-20
SB	NOK	0.111040534	0.093649364248800	2020-11-20
SB	SEK	0.11605673	0.097879924056360	2020-11-20
SB	UVR	0.075809879	0.063936534979905	2020-11-20
SB	FSU	1.097149094	0.925313593858392	2020-11-20
ES	DNZ	0.694733917	0.585655567460485	2020-11-20
ES	QAR	0.274593259	0.231480091663223	2020-11-20
ES	HCN	0.152532032	0.128583377641022	2020-11-20
ES	GBP	1.32835	1.119789251844046	2020-11-20
ES	CER	0.302583375	0.255075553057735	2020-11-20
ES	GTQ	0.128369705	0.108214714225230	2020-11-20
ES	EUR	1.18625	1.000000000000000	2020-11-20
ES	PCL	0.001312215	0.001106187914253	2020-11-20
ES	MXN	0.049776008	0.041960807556722	2020-11-20
ES	ARD	1	0.842992623814542	2020-11-20
ES	TZS	0.00043122	0.000363515577324	2020-11-20
ES	INR	0.01349209	0.011373732570777	2020-11-20
ES	BRL	0.185757939	0.156592572248608	2020-11-20
ES	MAD	0.10973094	0.092502372801490	2020-11-20
ES	XPD	0.0004289	0.000361559662719	2020-11-20
ES	ANG	0.564971751	0.476267019104261	2020-11-20
ES	LVL	1.503985562	1.784102872612423	2020-11-20
ES	BRE	1.18625	1.000000000000000	2020-11-20
ES	SKK	0.035085971	0.029577214883119	2020-11-20
